%Atmospheric Temperature [K],Atmospheric Pressure [Pa],Atmospheric Density [kg/m^3],Airspeed [m/s],Pitot Dynamic Pressure [Pa],Aux Dynamic Pressure [Pa],Actual Voltage [V],Angle of Attack [deg],Spanwise Position [in],Sting Axial Force [N],Sting Normal Force [N],Sting Pitching Moment [Nm],ELD Probe X-Axis [mm],ELD Probe Y-Axis [mm],Scanivalve Pressure 1 [Pa],Scanivalve Pressure 2 [Pa],Scanivalve Pressure 3 [Pa],Scanivalve Pressure 4 [Pa],Scanivalve Pressure 5 [Pa],Scanivalve Pressure 6 [Pa],Scanivalve Pressure 7 [Pa],Scanivalve Pressure 8 [Pa],Scanivalve Pressure 9 [Pa],Scanivalve Pressure 10 [Pa],Scanivalve Pressure 11 [Pa],Scanivalve Pressure 12 [Pa],Scanivalve Pressure 13 [Pa],Scanivalve Pressure 14 [Pa],Scanivalve Pressure 15 [Pa],Scanivalve Pressure 16 [Pa]
294.910,82272.192,0.972,30.206,443.356,518.807,6.351,-14.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.043,40.722,265.553,44.336,-198.818,-285.474,-342.878,-378.770,-409.309,-377.244,-577.120,-504.892,-478.191,-469.845,-475.379,-497.745,-501.078
295.017,82395.790,0.973,30.185,443.255,516.492,6.338,-14.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.042,32.491,265.553,31.806,-220.224,-303.613,-356.273,-403.551,-434.362,-374.341,-538.548,-493.499,-463.530,-470.681,-456.255,-458.564,-460.913
294.971,82374.028,0.973,30.191,443.376,515.670,6.346,-14.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.043,60.541,274.375,44.014,-206.545,-293.356,-350.458,-390.519,-425.047,-403.369,-467.242,-438.748,-429.533,-440.362,-446.536,-455.558,-467.557
294.849,82313.778,0.973,30.190,443.200,516.938,6.343,-14.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.042,56.426,260.417,32.341,-219.493,-306.420,-362.711,-404.726,-437.895,-412.077,-463.802,-441.174,-444.301,-420.811,-423.337,-429.437,-433.999
295.114,82432.146,0.973,30.160,442.567,519.245,6.344,-14.000,0.000,-2074.149,3917.671,-104.296,-0.035,0.042,81.444,246.793,19.169,-227.952,-309.336,-361.569,-396.715,-424.191,-382.380,-469.744,-446.449,-435.589,-436.285,-430.025,-423.425,-425.103
295.093,82237.708,0.971,30.206,442.882,517.565,6.354,-14.000,0.000,-2074.149,3917.671,-104.296,-0.036,0.043,87.184,265.331,35.126,-219.807,-309.012,-366.657,-408.251,-436.396,-391.870,-462.343,-408.154,-441.326,-420.184,-422.501,-423.425,-430.959
295.093,82435.439,0.973,30.405,449.828,524.436,6.322,-13.000,0.000,-2074.149,3917.671,67.499,-0.035,0.042,79.603,235.962,6.961,-236.932,-317.865,-366.138,-403.765,-433.077,-391.529,-467.134,-432.412,-429.209,-414.178,-423.187,-427.151,-430.123
295.093,82435.439,0.973,30.405,449.828,524.436,6.322,-13.000,0.000,-2074.149,3917.671,67.499,-0.035,0.042,96.931,233.615,-1.711,-251.656,-331.685,-376.834,-406.008,-421.086,-379.695,-401.354,-449.818,-434.415,-424.530,-440.955,-436.686,-439.020
294.906,82330.503,0.973,30.393,449.199,521.144,6.319,-13.000,0.000,-2074.149,3917.671,101.420,-0.036,0.042,92.816,261.421,34.698,-208.321,-291.088,-349.316,-387.422,-414.127,-379.249,-475.474,-421.335,-465.862,-449.207,-442.000,-444.668,-454.000
294.939,82354.913,0.973,30.383,448.987,524.575,6.323,-13.000,0.000,-2074.149,3917.671,16.195,-0.036,0.042,80.252,242.102,12.744,-234.948,-317.541,-367.488,-401.735,-423.656,-389.855,-491.841,-466.486,-446.845,-441.992,-431.235,-432.022,-438.119
