type,latitude,longitude,altitude
T,40.0100,-105.2432,1589.50
T,40.0100,-105.2432,1589.50
T,40.0100,-105.2432,1589.50
T,40.0100,-105.2432,1589.50
T,40.0100,-105.2432,1589.50
T,40.0100,-105.2432,1589.50
T,40.0100,-105.2433,1589.50
T,40.0100,-105.2433,1589.50
T,40.0100,-105.2433,1589.50
T,40.0100,-105.2433,1589.60
T,40.0100,-105.2433,1589.60
T,40.0100,-105.2433,1589.60
T,40.0100,-105.2434,1589.50
T,40.0100,-105.2434,1589.50
T,40.0100,-105.2434,1589.50
T,40.0100,-105.2434,1589.50
T,40.0101,-105.2434,1589.50
T,40.0101,-105.2434,1589.60
T,40.0101,-105.2434,1589.60
T,40.0101,-105.2434,1589.00
T,40.0101,-105.2434,1589.60
T,40.0101,-105.2434,1589.60
T,40.0101,-105.2434,1589.00
T,40.0101,-105.2434,1589.60
T,40.0101,-105.2434,1589.00
T,40.0101,-105.2434,1589.60
T,40.0101,-105.2434,1589.60
T,40.0101,-105.2434,1589.00
T,40.0101,-105.2435,1589.60
T,40.0101,-105.2435,1589.60
T,40.0101,-105.2435,1589.60
T,40.0101,-105.2435,1589.60
T,40.0101,-105.2435,1589.60
T,40.0101,-105.2435,1589.60
T,40.0101,-105.2435,1589.60
T,40.0101,-105.2435,1589.60
T,40.0101,-105.2435,1589.70
T,40.0101,-105.2435,1589.70
T,40.0101,-105.2435,1589.70
T,40.0101,-105.2435,1589.70
T,40.0101,-105.2435,1589.70
T,40.0101,-105.2435,1589.70
T,40.0101,-105.2435,1589.00
T,40.0101,-105.2435,1589.80
T,40.0102,-105.2435,1589.80
T,40.0102,-105.2435,1589.80
T,40.0102,-105.2435,1589.80
T,40.0102,-105.2435,1589.90
T,40.0102,-105.2435,1589.90
T,40.0102,-105.2435,1589.90
T,40.0102,-105.2436,1589.90
T,40.0102,-105.2436,1589.90
T,40.0102,-105.2437,1590.00
T,40.0102,-105.2437,1590.00
T,40.0102,-105.2437,1590.00
T,40.0102,-105.2437,1590.10
T,40.0102,-105.2438,1590.10
T,40.0102,-105.2438,1590.10
T,40.0102,-105.2438,1590.20
T,40.0103,-105.2439,1590.20
T,40.0103,-105.2439,1590.30
T,40.0103,-105.2439,1590.30
T,40.0103,-105.2439,1590.40
T,40.0103,-105.2439,1590.40
T,40.0103,-105.2440,1590.50
T,40.0103,-105.2440,1590.50
T,40.0103,-105.2440,1590.60
T,40.0103,-105.2441,1590.70
T,40.0103,-105.2441,1590.70
T,40.0103,-105.2441,1590.80
T,40.0103,-105.2441,1590.90
T,40.0103,-105.2442,1591.00
T,40.0103,-105.2442,1591.00
T,40.0103,-105.2442,1591.10
T,40.0103,-105.2443,1591.20
T,40.0103,-105.2443,1591.30
T,40.0103,-105.2443,1591.40
T,40.0103,-105.2444,1591.40
T,40.0104,-105.2444,1592.50
T,40.0105,-105.2444,1592.60
T,40.0105,-105.2444,1592.70
T,40.0105,-105.2444,1592.00
T,40.0105,-105.2443,1592.90
T,40.0105,-105.2443,1593.00
T,40.0105,-105.2443,1593.10
T,40.0105,-105.2443,1593.20
T,40.0105,-105.2442,1593.30
T,40.0105,-105.2442,1593.40
T,40.0105,-105.2442,1593.50
T,40.0105,-105.2442,1593.60
T,40.0105,-105.2441,1593.70
T,40.0105,-105.2441,1593.70
T,40.0105,-105.2441,1593.80
T,40.0105,-105.2441,1593.90
T,40.0105,-105.2440,1594.00
T,40.0105,-105.2439,1594.10
T,40.0105,-105.2439,1594.20
T,40.0105,-105.2438,1594.30
T,40.0105,-105.2438,1594.30
T,40.0105,-105.2437,1594.40
T,40.0105,-105.2437,1594.50
T,40.0104,-105.2437,1594.60
T,40.0104,-105.2436,1594.70
T,40.0104,-105.2436,1594.80
T,40.0104,-105.2435,1594.90
T,40.0104,-105.2435,1595.00
T,40.0104,-105.2434,1595.10
T,40.0104,-105.2434,1595.20
T,40.0103,-105.2433,1595.30
T,40.0103,-105.2433,1595.30
T,40.0103,-105.2433,1595.40
T,40.0103,-105.2433,1595.50
T,40.0103,-105.2433,1595.50
T,40.0103,-105.2433,1595.50
T,40.0103,-105.2433,1595.50
T,40.0103,-105.2433,1595.50
T,40.0103,-105.2433,1595.50
T,40.0103,-105.2433,1595.50
T,40.0103,-105.2433,1595.40
T,40.0103,-105.2433,1595.40
T,40.0103,-105.2433,1595.40
T,40.0103,-105.2433,1595.40
T,40.0103,-105.2434,1595.50
T,40.0103,-105.2434,1595.50
T,40.0103,-105.2434,1595.50
T,40.0103,-105.2434,1595.50
