#
# This text file contains four columns:
#  [1] the name of an exoplanet
#  [2] planet's radius, in Earth radii
#  [3] star's radius, in solar radii
#  [4] energy flux the planet receives from its star,
#       (relative to what Earth receives from the Sun)
#
K2-26b,             2.67,  0.52, 2.00e+01
K2-27b,             4.45,  0.85, 1.23e+02
K2-28b,             2.32,  0.29, 1.39e+01
K2-29b,            13.34,  0.86, 3.11e+02
K2-30b,            11.65,  0.84, 2.37e+02
K2-32b,             5.38,  0.87, 9.21e+01
K2-32c,             3.48,  0.87, 5.87e+01
K2-32d,             3.75,  0.87, 4.18e+01
K2-33b,             5.04,  1.05, 6.05e+01
K2-34b,            15.13,  1.53, 1.53e+03
K2-35b,             1.40,  0.72, 3.06e+02
K2-35c,             2.09,  0.72, 6.60e+01
K2-36b,             1.32,  0.74, 3.09e+02
K2-36c,             2.80,  0.74, 4.02e+01
K2-37b,             1.61,  0.85, 2.75e+02
K2-37c,             2.75,  0.85, 1.96e+02
K2-37d,             2.73,  0.85, 5.21e+01
K2-38b,             1.55,  1.10, 4.49e+02
K2-38c,             2.42,  1.10, 6.67e+01
K2-39b,             8.20,  3.88, 2.03e+03
K2-3b,              2.18,  0.56, 1.46e+01
K2-3c,              1.85,  0.56, 5.39e+00
K2-3d,              1.51,  0.56, 2.49e+00
K2-42b,             2.15,  0.64, 4.39e+01
K2-43b,             4.13,  0.57, 4.92e+01
K2-44b,             2.72,  1.58, 6.48e+02
K2-45b,             6.71,  0.45, 1.03e+02
K2-46b,             2.05,  1.29, 1.20e+02
K2-47b,             1.89,  0.76, 1.07e+01
K2-48b,             2.24,  0.73, 1.53e+01
K2-49b,             1.93,  0.45, 5.83e+01
K2-4b,              2.37,  0.60, 1.67e+01
K2-50b,             1.59,  0.55, 1.92e+01
K2-51b,            12.90,  1.37, 1.27e+02
K2-52b,            11.10,  1.49, 1.19e+03
K2-53b,             2.50,  0.85, 5.28e+01
K2-54b,             1.15,  0.38, 6.02e+00
K2-55b,             3.82,  0.63, 1.16e+02
K2-57b,             2.10,  0.62, 2.41e+01
K2-58b,             2.68,  0.86, 1.19e+02
K2-58c,             1.62,  0.86, 4.67e+02
K2-58d,             1.71,  0.86, 2.49e+01
K2-59b,             2.41,  0.73, 1.72e+01
K2-59c,             2.30,  0.73, 3.84e+01
K2-5b,              1.91,  0.57, 5.07e+01
K2-5c,              2.26,  0.57, 4.08e+01
K2-60b,             9.90,  1.47, 1.22e+03
K2-61b,             2.48,  1.36, 1.70e+03
K2-62b,             2.14,  0.73, 6.74e+01
K2-62c,             2.14,  0.73, 2.07e+01
K2-63b,             3.22,  1.63, 1.90e+02
K2-64b,             2.07,  0.73, 1.00e+02
K2-65b,             1.58,  0.84, 4.57e+01
K2-66b,             2.49,  1.71, 9.02e+02
K2-67b,            17.40,  1.12, 5.58e+01
K2-68b,             1.58,  0.68, 4.22e+01
K2-69b,             2.32,  0.49, 1.80e+01
K2-6b,              2.50,  0.96, 1.93e+01
K2-70b,             2.89,  0.93, 6.29e+01
K2-71b,             2.15,  0.43, 1.37e+01
K2-72b,             0.75,  0.23, 5.16e+00
K2-72c,             0.86,  0.23, 1.36e+00
K2-72d,             0.73,  0.23, 3.32e+00
K2-72e,             0.82,  0.23, 7.31e-01
K2-73b,             2.45,  1.06, 2.15e+02
K2-74b,             2.31,  0.98, 5.94e+01
K2-75b,             2.67,  1.56, 4.32e+02
K2-75c,             2.77,  1.56, 1.39e+02
K2-76b,            11.10,  1.28, 6.25e+01
K2-77b,             2.30,  0.76, 4.72e+01
K2-78b,             1.42,  0.88, 6.97e+02
K2-79b,             3.69,  1.28, 1.87e+02
K2-7b,              2.67,  0.96, 2.85e+01
K2-80b,             2.01,  0.87, 3.28e+01
K2-80c,             1.47,  0.87, 1.68e+02
K2-81b,             1.82,  0.63, 4.47e+01
K2-82b,             2.60,  0.17, 2.36e+00
K2-83b,             1.24,  0.42, 4.11e+01
K2-83c,             1.48,  0.42, 7.35e+00
K2-84b,             2.41,  0.93, 1.80e+02
K2-84c,             2.03,  0.93, 2.54e+01
K2-85b,             1.01,  0.51, 4.90e+02
K2-86b,             1.96,  0.76, 7.93e+01
K2-87b,             4.60,  0.93, 8.66e+01
K2-88b,             1.23,  0.26, 7.96e+00
K2-89b,             0.61,  0.32, 7.97e+01
K2-8b,              3.58,  0.74, 1.18e+02
K2-8c,              2.41,  0.74, 1.29e+02
K2-90b,             2.04,  0.49, 7.40e+00
K2-90c,             1.02,  0.49, 5.88e+01
K2-91b,             1.10,  0.28, 4.54e+01
K2-92b,             2.56,  1.38, 9.68e+03
