*******************************************************************************
            JDTDB,            Calendar Date (TDB),                      X,                      Y,                      Z,                     VX,                     VY,                     VZ,
2453581.500000000, A.D. 2005-Jul-30 00:00:00.0000,  9.111897861449465E+07, -1.215058340132671E+08,  1.210629150509834E+03,  2.335615338616848E+01,  1.775527650356972E+01, -1.057348967066218E-03,
2453583.500000000, A.D. 2005-Aug-01 00:00:00.0000,  9.510279880073914E+07, -1.183691426546916E+08,  1.058826619431376E+03,  2.274808745546486E+01,  1.854577790399755E+01, -6.825783114043915E-04,
2453585.500000000, A.D. 2005-Aug-03 00:00:00.0000,  9.897908147552066E+07, -1.150975845254572E+08,  9.784147312343121E+02,  2.211162515641944E+01,  1.931594761641690E+01, -2.437432420476782E-04,
2453587.500000000, A.D. 2005-Aug-05 00:00:00.0000,  1.027429890074536E+08, -1.116948178880960E+08,  9.739884162470698E+02,  2.144761116106420E+01,  2.006413017300477E+01,  1.848275089972873E-04,
2453589.500000000, A.D. 2005-Aug-07 00:00:00.0000,  1.063898512812291E+08, -1.081647749890313E+08,  1.037698330529034E+03,  2.075713559623194E+01,  2.078881441267393E+01,  5.339710350931171E-04,
2453591.500000000, A.D. 2005-Aug-09 00:00:00.0000,  1.099152059811818E+08, -1.045116341656976E+08,  1.150477438956499E+03,  2.004150850091034E+01,  2.148867029704568E+01,  7.437949465733951E-04,
2453593.500000000, A.D. 2005-Aug-11 00:00:00.0000,  1.133148339654125E+08, -1.007397850068536E+08,  1.284037414744496E+03,  1.930223000824689E+01,  2.216258928590432E+01,  7.681740632641265E-04,
2453595.500000000, A.D. 2005-Aug-13 00:00:00.0000,  1.165847905464773E+08, -9.685378612097599E+07,  1.403651754848659E+03,  1.854097588978200E+01,  2.280973611161588E+01,  5.798542897839098E-04,
2453597.500000000, A.D. 2005-Aug-15 00:00:00.0000,  1.197214348642257E+08, -9.285830855201191E+07,  1.472272090941668E+03,  1.775957741212907E+01,  2.342967597727856E+01,  1.821825009411526E-04,
2453599.500000000, A.D. 2005-Aug-17 00:00:00.0000,  1.227214453956117E+08, -8.875804752754170E+07,  1.457747045587748E+03,  1.695984370993105E+01,  2.402260411246837E+01, -3.667060524215060E-04,
